id	name
1	FLAT 1
2	FLAT 2
3	FLAT 3
4	FLAT 4
5	FLAT 5
6	FLAT 6
7	FIRST FLOOR FLAT
8	GROUND FLOOR FLAT
9	FLAT 7
10	FLAT 8
11	FLAT A
12	FLAT
13	FLAT 9
14	FLAT B
15	FLAT 10
16	1A
17	FLAT 11
18	GROUND FLOOR
19	FLAT 12
20	FIRST FLOOR
21	UNIT 1
22	2A
23	FLAT 1/1
24	UNIT 2
25	FLAT 1/2
26	FLAT 2/1
27	FLAT C
28	FLAT 14
29	UNIT 3
30	FLAT 2/2
31	FLAT 0/1
32	FLAT 15
33	FLAT 0/2
34	ELECTRICITY SUB STATION
35	FLAT 16
36	UNIT 4
37	FLAT 13
38	SECOND FLOOR FLAT
39	FLAT 17
40	ANNEXE
41	BASEMENT FLAT
42	FLAT 18
43	UNIT 5
44	PLOT 1
45	FLAT 19
46	11A
47	3A
48	FLAT 20
49	PLOT 2
50	4A
51	12A
52	FLAT 21
53	FLAT D
54	UNIT 6
55	SECOND FLOOR
56	FLAT 22
57	LAND AT
58	5A
59	FLAT 23
60	6A
61	FLAT GROUND FLOOR
62	THE COTTAGE
63	FLAT 24
64	7A
65	UNIT 7
66	THE FLAT
67	THE BUNGALOW
68	PLOT 3
69	8A
70	1B
71	FLAT 25
72	FLAT 3/1
73	9A
74	FLAT 3/2
75	FLAT 26
76	10A
77	FLAT 27
78	UNIT 8
79	PLOT 4
80	FLAT 28
81	CAR PARK
82	FLAT 31
83	2B
84	FLAT 32
85	FLAT 29
86	14A
87	15A
88	FLAT 30
89	FLAT ABOVE
90	16A
91	UNIT 9
92	PLOT 5
93	CARAVAN
94	FLAT FIRST FLOOR
95	ROSE COTTAGE
96	17A
97	FLAT 33
98	FLAT E
99	18A
100	THE ANNEXE
101	19A
102	UNIT 10
103	PLOT 6
104	FLAT 34
105	BASEMENT
106	21A
107	20A
108	FLAT 35
109	1F1
110	13A
111	TOP FLAT
112	PLOT 7
113	1F2
114	22A
115	23A
116	FLAT 36
117	ROOM 2
118	ROOM 1
119	SHOP
120	UNIT 11
121	25A
122	ROOM 3
123	PLOT 8
124	24A
125	2F1
126	THIRD FLOOR
127	FLAT 37
128	2F2
129	THE COACH HOUSE
130	27A
131	THE BARN
132	ROOM 4
133	FLAT 38
134	26A
135	FLAT AT
136	PLOT 9
137	UNIT 12
138	THE LODGE
139	28A
140	REAR OF
141	FLAT 39
142	GARAGE 1
143	LAND OFF
144	29A
145	WORKSHOP
146	PLOT 10
147	FLAT 40
148	FLAT F
149	FLAT 41
150	GARAGE 2
151	ADVERTISING RIGHT
152	31A
153	30A
154	ROOM 5
155	APARTMENT 1
156	APARTMENT 2
157	32A
158	FLAT 42
159	GARAGE 3
160	PLOT 11
161	GARAGE
162	ATM
163	33A
164	FLAT 43
165	35A
166	3B
167	APARTMENT 3
168	PLOT 12
169	GARAGE 4
170	34A
171	FLAT 44
172	36A
173	37A
174	4B
175	1C
176	UNIT 14
177	THE STABLES
178	APARTMENT 4
179	UPPER FLAT
180	1-2
181	FIRST FLOOR AND SECOND FLOOR FLAT
182	BASEMENT AND GROUND FLOOR
183	FLAT 1ST FLOOR
184	FLAT 45
185	39A
186	38A
187	UNIT A
188	PLOT 14
189	TOP FLOOR FLAT
190	GARAGE 5
191	PLOT 13
192	FLAT 46
193	41A
194	40A
195	ROOM 6
196	5B
197	6B
198	UNIT 15
199	APARTMENT 5
200	GARAGE 6
201	PLOT 15
202	SCHOOL HOUSE
203	UNIT 13
204	UNIT B
205	7B
206	FLAT 47
207	MOBILE HOME
208	42A
209	43A
210	GARDEN FLAT
211	2C
212	PLOT 16
213	3F1
214	FLAT 48
215	3F2
216	FLAT 1/3
217	APARTMENT 6
218	44A
219	TELECOMMUNICATIONS MAST
220	PLOT 17
221	8B
222	45A
223	PLOT 18
224	ANNEXE AT
225	47A
226	9B
227	UNIT 16
228	THIRD FLOOR FLAT
229	GARAGE 7
230	PUMPING STATION
231	FLAT 2/3
232	FLAT 51
233	FLAT 49
234	OFFICE
235	46A
236	49A
237	48A
238	10B
239	11B
240	THE GRANARY
241	PLOT 19
242	FLAT 52
243	FLAT 50
244	1-3
245	PUBLIC CONVENIENCES
246	PLOT 20
247	FLAT 2ND FLOOR
248	12B
249	50A
250	GARAGE 8
251	FLAT 53
252	MANAGERS ACCOMMODATION
253	51A
254	PLOT 21
255	FLAT 54
256	52A
257	LOWER FLAT
258	PLOT 22
259	UNIT 17
260	APARTMENT 7
261	PF1
262	FOURTH FLOOR
263	FIRST AND SECOND FLOOR FLAT
264	53A
265	PLOT 23
266	STORE
267	FLAT 1A
268	GARAGE 9
269	55A
270	ORCHARD HOUSE
271	FLAT 55
272	UNIT C
273	MAISONETTE
274	FLAT OVER
275	PLOT 24
276	UNIT 1A
277	14B
278	WOODLANDS
279	54A
280	APARTMENT 8
281	56A
282	15B
283	FLAT G
284	PF2
285	FLAT 56
286	IVY COTTAGE
287	UNIT 18
288	57A
289	PLOT 25
290	LIVING ACCOMMODATION
291	GARAGE 10
292	16B
293	58A
294	LAND
295	THE WILLOWS
296	PLAY AREA
297	PLOT 26
298	PLOT 27
